,gameId,playId,nflId,frameId,frameType,jerseyNumber,club_x,event,inMotionAtBallSnap,shiftSinceLineset,motionSinceLineset,wasRunningRoute,routeRan,yardsToGo,possessionTeam,defensiveTeam,yardlineNumber,absoluteYardlineNumber,pff_manZone,position,o_std,dir_std,x_std,y_std,s_std,a_std,dis_std,los_std,num_qbs,num_rbs,num_tes,num_wrs,num_lbs,num_dbs,playerType,delta_x,delta_y,delta_s,delta_a,delta_dir,delta_o,distFromLOS,numWRsLeft,numWRsRight,club_y,x_ball,y_ball,distFromBall,fieldSide,nflId_closest_DEF,min_def_distance,expectedPointsAdded,max_speed,mean_speed,motionType_orig,offenseFormation_orig,motionType_fly,motionType_jet,motionType_orbit,motionType_other,motionType_return,motionType_short,is_EMPTY,is_I_FORM,is_JUMBO,is_PISTOL,is_SHOTGUN,is_SINGLEBACK,is_2x1,is_2x2,is_3x1,is_3x2,is_4x1,down_1,down_2,down_3,down_4,quarter_1,quarter_2,quarter_3,quarter_4
0,2022091200,2522,40026.0,139,SNAP,11.0,SEA,ball_snap,False,False,True,1.0,POST,10,SEA,DEN,31,79,Man,WR,280.04,267.27,39.61,14.933333333333337,0.43,1.13,0.04,41,1,1.0,1.0,3.0,1.0,6.0,WR,,,,,,,1.3900000000000006,3,1,football,40.8000030517578,29.633332570393836,14.6999992370605,right,42030.0,9.000005555553841,0.9832922261557565,10.11,4.716798567286372,other,SHOTGUN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,2022091200,2750,42412.0,48,SNAP,16.0,SEA,ball_snap,True,False,True,1.0,CROSS,10,SEA,DEN,20,90,Man,WR,189.63,165.51,27.5,31.153333333333336,4.67,3.53,0.45,30,2,2.0,4.0,4.0,4.0,8.0,WR,-0.6299999999999955,-2.1099999999999994,4.64,3.4299999999999997,-60.660000000000025,-51.19999999999999,2.5,3,1,football,29.739997863769503,26.213332494099937,-4.940000839233399,left,52706.0,9.093162266230596,-1.2439780323350398,9.68,4.118441649196366,short,SINGLEBACK,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
2,2022091113,224,52425.0,84,SNAP,88.0,DAL,ball_snap,False,True,True,1.0,SLANT,10,DAL,TB,42,52,Man,WR,276.85,213.68,66.3,14.443333333333335,0.06,0.2,0.01,68,1,1.0,3.0,1.0,2.0,4.0,WR,,,,,,,1.7000000000000028,3,1,football,67.11000061035159,23.433333714803037,8.990000381469702,right,46132.0,1.833303030052586,-0.6703343229989206,10.06,4.3226433453960595,other,EMPTY,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
3,2022091113,966,52425.0,60,SNAP,88.0,DAL,ball_snap,True,False,True,1.0,IN,4,DAL,TB,16,26,Man,WR,82.89999999999998,149.76,22.47,14.39,0.8,1.99,0.09,26,1,1.0,1.0,3.0,2.0,5.0,WR,,,,,,,3.530000000000001,3,1,football,25.4599990844727,23.7000007629395,9.310000762939499,right,47882.0,6.8970138465860735,-0.6703343229989206,10.06,4.3226433453960595,other,SHOTGUN,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4,2022091113,1587,45052.0,110,SNAP,85.0,DAL,ball_snap,True,False,True,1.0,HITCH,10,DAL,TB,37,47,Man,WR,39.920000000000016,1.9300000000000068,44.07,14.92,4.6,1.22,0.46,47,2,2.0,4.0,4.0,4.0,8.0,WR,-0.240000000000002,4.34,1.4799999999999995,-2.34,-345.74000000000007,-288.85999999999996,2.9299999999999997,3,1,football,46.7099990844727,29.6800003051758,14.760000305175799,right,46132.0,4.520409273506106,-0.3563574913423508,10.19,4.13246975088968,short,SINGLEBACK,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
5,2022091113,2470,46263.0,167,SNAP,17.0,TB,ball_snap,True,False,True,1.0,FLAT,3,TB,DAL,35,75,Man,WR,168.41999999999996,174.14999999999998,71.88,26.02,6.1,1.68,0.62,75,2,2.0,2.0,6.0,,,WR,0.1799999999999926,-12.169999999999998,0.1299999999999999,1.18,-10.440000000000055,-5.180000000000064,3.1200000000000045,3,1,football,74.5999984741211,29.6599998474121,3.639999847412099,right,44904.0,6.44323676423582,0.5191263359544479,8.37,3.7215067611075336,fly,SHOTGUN,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
6,2022091113,3385,52425.0,90,SNAP,88.0,DAL,ball_snap,True,False,True,1.0,SLANT,10,DAL,TB,36,46,Man,WR,57.25999999999999,11.360000000000014,42.52,44.76,3.49,2.34,0.36,46,2,2.0,2.0,6.0,4.0,10.0,WR,0.060000000000002274,17.93,-1.4399999999999995,1.21,-344.16999999999996,-278.09000000000003,3.479999999999997,3,1,football,45.6300010681152,29.8199996948242,-14.940000305175797,left,47877.0,5.289281614737484,-0.6703343229989206,10.06,4.3226433453960595,fly,SHOTGUN,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
7,2022091108,216,54483.0,170,SNAP,16.0,TEN,ball_snap,False,False,True,1.0,CROSS,5,TEN,NYG,27,37,Man,WR,282.05,275.26,80.63,22.743333333333336,0.1,0.04,0.02,83,1,1.0,1.0,3.0,1.0,5.0,WR,,,,,,,2.3700000000000045,3,1,football,82.3699989318848,29.583333333333336,6.84,right,52518.0,4.998659820391866,-0.19677075708750694,9.98,5.230550161812298,other,SHOTGUN,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8,2022091108,2297,39989.0,117,SNAP,2.0,TEN,ball_snap,True,False,True,1.0,CROSS,2,TEN,NYG,33,43,Man,WR,178.05999999999995,186.21000000000004,38.79,27.79,6.22,1.92,0.61,43,2,2.0,2.0,6.0,4.0,10.0,WR,-0.5799999999999983,-3.2200000000000024,1.87,-1.73,-8.299999999999955,35.49999999999994,4.210000000000001,3,1,football,42.6100006103516,23.8600006103516,-3.9299993896483976,left,52518.0,6.057755359867218,0.16334497478480217,9.39,4.455469568722289,short,SINGLEBACK,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
9,2022091108,2938,46309.0,110,SNAP,80.0,NYG,ball_snap,False,True,True,1.0,SLANT,5,NYG,TEN,39,49,Man,WR,95.11000000000001,197.64999999999998,47.35,33.74,0.08,0.06,0.01,49,1,1.0,1.0,3.0,1.0,6.0,WR,,,,,,,1.6499999999999986,3,1,football,48.9199981689453,23.6599998474121,-10.080000152587903,left,46846.0,4.711793713650886,0.1963739625061853,9.19,3.960583069392456,other,SHOTGUN,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
